participantGuid	resultString
328D89DF-CE88-460D-8943-6623855A2699	"['TPC,0,1494015094.13376','TB,0,1494015095.66531','TF,0,1494015098.08314','TFP,0,1494015101.16868','FP,312,1494015121.69568','BP,446,1494015123.06286','BP,37,1494015123.84711']"
3317CE91-9EA4-4153-B137-130475CCDA60	
34B1A1FE-96EC-4E6E-A36B-16FB87141FBA	
39359BAB-CC21-4C58-A7AD-40B8D39752EA	[]
3A441C0E-1A39-45BE-B273-66DE8142171A	"['BG,0,1516907099.49385','FG,0,1516909973.48438','BG,0,1516909981.99614','FG,0,1516911999.9583','TB,0,1516912673.08935','TF,0,1516912675.18113','TPC,0,1516912677.73205','TBP,0,1516912679.50087','TFP,0,1516912681.98488','F,19,1516912686.771','F,250,1516912689.03758','B,323,1516912690.37009','B,227,1516912691.15757','B,77,1516912694.37422']"
3A72DDFE-7FA8-42D3-9EA3-37D1B8410E7B	"['TB,0,1508176948.28733','TF,0,1508176950.16921','TPC,0,1508176953.30404','TBP,0,1508176955.80496','TFP,0,1508176958.40565','FP,585,1508176994.543','FP,709,1508176996.31011','FP,1106,1508176997.36002','FP,1439,1508176998.00978','FP,1496,1508176998.56004','FP,1925,1508176999.07682','FP,2564,1508176999.54353','FP,3450,1508177000.04467','FP,3956,1508177000.56024','FP,4469,1508177001.0775','FP,4793,1508177001.57695','FP,5623,1508177002.06005','FP,5655,1508177002.54405','FP,6068,1508177006.92796','FP,6539,1508177007.49418','FP,6928,1508177008.76125','FP,7504,1508177009.47835','FP,8354,1508177010.1615','FP,9041,1508177010.84513','FP,9097,1508177011.51119','FP,9491,1508177012.21404','FP,10536,1508177013.04309','FP,11263,1508177013.87856','FP,12032,1508177014.59683','FP,12624,1508177015.39545','FP,13238,1508177016.21217','FP,14143,1508177017.09546','FP,14330,1508177017.96014','FP,15089,1508177040.89685','F,15423,1508177060.88152','F,15453,1508177062.01497','F,15493,1508177063.78215']"
3CBC9FAC-7126-4692-8742-6F9D879BE659	"['TPC,0,1517009874.47201','TB,0,1517009876.49909','TF,0,1517009879.08203','TBP,0,1517009882.06909','TFP,0,1517009884.81811']"
3DD16C50-2D52-465F-B441-E6BCCE9DB638	"['TPC,0,1493851768.15844','TPC,0,1493851770.53215','TF,0,1493851772.90592','TB,0,1493851775.1492','TFP,0,1493851777.16223','TBP,0,1493851780.62945','BP,9738,1493852354.68344','BP,9510,1493852356.10037','BP,11239,1493852480.74492','BP,10554,1493852482.11141']"
3E88FD9F-FAC4-42FD-B6EE-AEC9DC3B1EC9	
4018BF45-3C91-4EDB-90FF-D933E251EECE	"['TF,0,1493944829.71351','TB,0,1493944833.14842','TPC,0,1493944836.39873','TBP,0,1493944839.26493','F,10083,1493945469.06808','F,13388,1493945698.44947']"
