resultString,participantGuid,participantGroup
,829FAB90-DE50-4E97-981B-89363728497F,0
[],C2B035CF-98D4-4D74-AD70-4180B4EF1838,0
"['BG,0,1493864481.49906','FG,0,1493864505.59001','BG,0,1493864526.68176','FG,0,1493864527.27852','BG,0,1493865198.51082','FG,0,1493865221.29469','BG,0,1493865253.90881','FG,0,149385257.84336','P,2538,1493865374.15573','C,2538,1493865375.20649','BG,0,1493865451.7045','FG,0,1493865456.60195','BG,0,1493865799.73619','FG,0,1493865802.48702','BG,0,1493865921.56527&quo;,'FG,0,1493865923.13219']",05A3067E-8E02-413F-B43D-F2E5B546C75B,0
"['TB,0,1493864882.7463','TF,0,1493864885.3771','TBP,0,1493864888.26119','TFP,0,1493864890.41062','P,7178,1493865313.63198','C,7178,1493865374.71304','B,7304,1493865382.63286','B,727,1493865383.59901']",227A30FE-E2B3-48CD-9D79-700AFCD58485,3
"['TB,0,1493865087.42978','TF,0,1493865089.76101','TBP,0,1493865093.94655','TFP,0,1493865096.28087','TPC,0,1493865101.08412','BP,5124,1493865401.41827','BP,4820,1493865403.23557','B,0,1493865423.40976','FG,0,1493865429.99089','B,4850,1493865453.35974']",1B777A19-5377-4AD7-BF2D-2266BD5595EE,3
"['BG,0,1493862866.0292','FG,0,1493862991.36288','BG,0,1493863091.0046','FG,0,1493863120.30464','BG,0,1493863134.54282','FG,0,1493864074.29175','BG,0,1493864230.40549','FG,0,149386546.68507','BG,0,1493865836.87759','FG,0,1493866789.30188','BG,0,1493866988.6987','FG,0,1493867043.01225','B,1044,1493867051.20353','BG,0,1493867117.74962','FG,0,1493867121.66037',&uot;F,2061,1493867131.25853','BG,0,1493867613.74086','FG,0,1493867618.52176','F,10267,1493867622.29235','BG,0,1493867785.77356','FG,0,1493867789.92742','F,13216,1493867792.59765']",F04B766F-8D9B-482D-810B-9E17FCBA0C0B,4
"['BG,0,1493862866.0292','FG,0,1493862991.36288','BG,0,1493863091.0046','FG,0,1493863120.30464','BG,0,1493863134.54282','FG,0,1493864074.29175','BG,0,1493864230.40549','FG,0,149386546.68507','BG,0,1493865836.87759','FG,0,1493866789.30188','BG,0,1493866988.6987','FG,0,1493867043.01225','B,1044,1493867051.20353','BG,0,1493867117.74962','FG,0,1493867121.66037',&uot;F,2061,1493867131.25853','BG,0,1493867613.74086','FG,0,1493867618.52176','F,10267,1493867622.29235','BG,0,1493867785.77356','FG,0,1493867789.92742','F,13216,1493867792.59765']",F04B766F-8D9B-482D-810B-9E17FCBA0C0B,4
"['BG,0,1493867775.33382','FG,0,1493867813.12298','BG,0,1493868285.51082','FG,0,1493868306.58978','TB,0,1493868578.31764','P,58,1493868584.1348','C,58,1493868584.68403','B,77,149386585.4673','F,10,1493868586.05004','F,101,1493868591.11726','F,227,1493868591.73423','F,312,1493868592.38362','F,429,1493868592.98356','B,579,1493868594.71727','B,423,1493868595.15051&qut;,'B,312,1493868595.6185','B,220,1493868596.03427','B,27,1493868596.48255','P,867,1493868646.36841','C,867,1493868659.02422','P,905,1493868661.871','C,905,1493868668.42244','BG,0,493868729.49486','FG,0,1493868732.64918','F,2000,1493868738.45451','B,2061,1493868742.12357','B,1931,1493868742.82271','P,2453,1493868778.68949','C,2453,1493868780.02644','BG,0,149386883.45889','FG,0,1493868896.84134','B,4438,1493868908.57781','P,11159,1493869320.60277','C,11159,1493869321.36898','P,13724,1493869470.39467','C,13724,1493869509.33113','P,15231,149386960.58441','C,15231,1493869626.58678','P,15381,1493869636.38755','C,15381,1493869637.50425']",C81E72E0-1335-4100-A5E4-9A3E3DD17A03,2
[],7E5C0BD1-0771-49BA-B7F7-827FBAD8EB75,0
[],5BA168D1-F3C4-4826-B3AE-DFFD5F96F347,0
"['TB,0,1493870925.296','TB,0,1493870930.60975','TF,0,1493870933.07662','TPC,0,1493870937.41021','TB,0,1493870944.08067','TFP,0,1493870947.27958']",C8CC2674-C699-44DC-9E3D-B3097EDDB5D2,2
"['P,13468,1493921789.77833','C,13468,1493921792.57776']",1320031F-847C-4D67-9592-0264E0625A92,0
"['F,101,1493925961.27173','P,260,1493925963.72493','B,260,1493925965.77267','P,11380,1493926632.64752','P,11398,1493926633.58519','C,11398,1493926678.9037']",9B401520-66C3-49B0-8DB7-AC8FF801F384,4
"['BG,0,1493930853.62046','FG,0,1493930856.4668','TB,0,1493931180.95917','TF,0,1493931183.00956','TPC,0,1493931185.09165','TBP,0,1493931187.24478','TFP,0,1493931189.76184','TBP,0,143931191.94586','TPC,0,1493931194.14279','B,101,1493931202.96246','B,569,1493931235.76671','FP,1282,1493931284.04176','BP,1575,1493931292.50945','BP,1469,1493931294.82753','BG,0,149393142.3905','FG,0,1493931425.87129','F,3619,1493931439.63981','P,4523,1493931487.58083','C,4523,1493931488.09507','BG,0,1493931496.75313','FG,0,1493931497.53673','P,4684,1493931498.39543&qut;,'C,4684,1493931498.99665','FP,5467,1493931545.00547','FP,8209,1493931702.34433','P,9377,1493931766.3496','C,9377,1493931767.47204','P,10333,1493931824.33682','C,10333,1493931824.78388&quo;,'P,12632,1493931956.45118','C,12632,1493931957.38157','P,14488,1493932068.21474','C,14488,1493932068.64536']",687CB647-1B3F-4ECC-95C7-35829B390161,3
"['BG,0,1493933257.51676','FG,0,1493933257.92904','TB,0,1493933306.46642','TF,0,1493933308.81486','TBP,0,1493933311.66768','BG,0,1493933504.39051','FG,0,1493933515.27132','BG,0,149333518.89467','FG,0,1493933530.8714','FP,13917,1493934156.20302','FP,14155,1493934157.49139','FP,14330,1493934158.26164','FP,14714,1493934158.85307','FP,14714,1493934159.36942','FP,147141493934159.96918','FP,14722,1493934160.98699']",C96D62ED-FB49-4685-A5D6-A4F1E786D911,4
,480123DA-76A4-40EA-9AC6-2258278E2C99,0
,480123DA-76A4-40EA-9AC6-2258278E2C99,0
"['TF,0,1493944829.71351','TB,0,1493944833.14842','TPC,0,1493944836.39873','TBP,0,1493944839.26493','F,10083,1493945469.06808','F,13388,1493945698.44947']",4018BF45-3C91-4EDB-90FF-D933E251EECE,2
"['TB,0,1494006354.38402','TF,0,1494006356.98395','TPC,0,1494006360.4875','TBP,0,1494006363.0369','TFP,0,1494006365.17814','P,405,1494006391.9394','F,405,1494006392.72275','FP,449,194006394.17523','FP,694,1494006394.69171','FP,1089,1494006395.00803','FP,1439,1494006395.25852','FP,1492,1494006395.49008','FP,1925,1494006395.90878','FP,2564,1494006396.10626','FP,34501494006396.32287','FP,3950,1494006396.53923','FP,4465,1494006396.73922','FP,4793,1494006396.94007','FP,5623,1494006397.34136','FP,5655,1494006397.57492','FP,6011,1494006397.80623','FP,639,1494006398.05693','FP,6914,1494006398.30704','FP,7504,1494006398.54067','FP,8345,1494006398.79092','FP,9041,1494006399.04183','FP,9089,1494006399.27376','FP,9491,1494006399.48981','F,10536,1494006399.72318','FP,11255,1494006399.95717','FP,12023,1494006400.19004','FP,12616,1494006400.42354','FP,13226,1494006400.65664','FP,14136,1494006400.87357','FP,14319,1494006401.1067&quot,'FP,14705,1494006401.32346','FP,14705,1494006401.55678','FP,14714,1494006402.02566','FP,14711,1494006402.3258','FP,14711,1494006402.70898','FP,14711,1494006403.02636','F,14733,1494006404.5267','F,14846,1494006406.95805','F,14923,1494006408.17476','F,15023,1494006409.24138','F,15102,1494006410.34265','F,15211,1494006411.23947','FP,15333,1494006412.19141','FP,15333,149400643.30791','F,15333,1494006414.20894','F,15403,1494006415.44251','F,15471,1494006417.24257','F,15489,1494006417.97676','F,15493,1494006418.54308']",FC42ED5E-D7AB-498A-99C2-DCEC30DF88C5,4
